name,avg,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울시,35,43,41,45,44,35,36,21,23,19,33,,
강남구,31,39,38,41,38,31,34,20,23,18,29,,
강동구,35,46,46,45,44,33,37,21,24,20,35,,
강북구,37,45,46,46,48,36,40,24,28,22,35,,
강서구,36,53,46,49,45,36,36,21,23,19,35,,
관악구,35,43,41,46,43,35,37,23,24,21,33,,
광진구,33,39,40,46,45,36,35,19,23,18,30,,
구로구,36,42,40,54,49,43,38,17,18,19,35,,
금천구,33,43,41,43,40,31,34,23,25,21,32,,
노원구,33,39,37,43,47,30,36,21,21,20,33,,
도봉구,31,39,36,41,43,34,37,23,19,13,27,,
동대문구,31,39,39,40,39,31,34,20,23,19,30,,
동작구,39,49,47,52,49,39,39,25,27,24,37,,
마포구,32,41,37,42,40,32,34,20,23,19,31,,
서대문구,32,41,40,50,48,38,33,15,14,14,29,,
서초구,38,48,48,51,49,42,43,22,21,20,36,,
성동구,33,40,40,42,40,32,37,22,23,19,30,,
성북구,34,41,41,44,45,37,37,23,22,19,35,,
송파구,33,41,40,44,44,31,37,21,24,19,32,,
양천구,37,50,45,49,45,36,38,22,25,22,35,,
영등포구,33,41,38,42,40,33,36,22,24,20,33,,
용산구,34,42,40,46,45,35,36,22,24,19,33,,
은평구,33,40,38,46,45,36,37,19,20,17,32,,
종로구,34,42,42,43,42,34,36,22,24,21,35,,
중구,33,41,42,41,39,32,33,20,23,21,39,,
중랑구,34,42,42,45,43,35,38,22,25,19,32,,
min,31,,,,,,,,,,,,
max,50,,,,,,,,,,,,
