name,avg,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울시avg,20,29,28,25,21,19,21,13,15,11,17,,
강남구,20,28,25,26,21,18,21,15,17,12,17,,
강동구,22,33,33,26,22,19,23,14,16,12,19,,
강북구,21,30,30,25,22,19,22,14,17,11,18,,
강서구,20,29,27,24,20,18,21,14,16,12,18,,
관악구,19,28,27,23,18,17,20,13,14,10,17,,
광진구,19,23,26,24,20,20,21,12,15,9,16,,
구로구,20,30,31,28,23,25,18,11,9,8,16,,
금천구,21,34,29,26,21,18,21,16,16,13,19,,
노원구,21,33,32,26,23,16,19,13,14,12,17,,
도봉구,18,26,27,23,20,19,20,13,10,8,16,,
동대문구,18,26,25,20,18,15,19,12,14,11,17,,
동작구,22,31,31,28,23,20,21,15,16,12,19,,
마포구,20,31,29,25,20,18,21,14,15,11,17,,
서대문구,19,25,29,27,21,21,18,10,9,9,18,,
서초구,20,30,29,29,25,26,18,10,11,7,15,,
성동구,21,29,28,25,20,19,24,16,16,12,17,,
성북구,19,27,28,22,19,19,20,13,13,9,15,,
송파구,20,28,28,25,20,17,22,14,16,11,18,,
양천구,21,33,29,27,21,17,20,14,17,12,18,,
영등포구,20,29,26,25,19,17,20,14,16,11,18,,
용산구,19,30,27,23,20,18,20,14,15,10,16,,
은평구,19,25,26,24,20,20,21,13,13,9,15,,
종로구,21,31,29,25,21,19,21,14,15,12,18,,
중구,22,33,33,28,23,19,23,15,18,13,19,,
중랑구,19,23,24,24,19,18,21,14,15,11,17,,
